Keyword,Year,Count
AAV2,2004,61
AAV2,2005,86
AAV2,2006,94
AAV2,2007,89
AAV2,2008,91
AAV2,2009,99
AAV2,2010,101
AAV2,2011,123
AAV2,2012,123
AAV2,2013,128
AAV2,2014,91
AAV2,2015,86
AAV2,2016,109
AAV2,2017,107
AAV2,2018,93
AAV2,2019,110
AAV2,2020,134
AAV2,2021,118
AAV2,2022,132
AAV2,2023,156
AAV2,2024,147
AAV5,2004,12
AAV5,2005,20
AAV5,2006,29
AAV5,2007,23
AAV5,2008,19
AAV5,2009,20
AAV5,2010,25
AAV5,2011,26
AAV5,2012,25
AAV5,2013,20
AAV5,2014,15
AAV5,2015,17
AAV5,2016,19
AAV5,2017,32
AAV5,2018,24
AAV5,2019,46
AAV5,2020,44
AAV5,2021,45
AAV5,2022,55
AAV5,2023,63
AAV5,2024,64
AAV8,2004,5
AAV8,2005,16
AAV8,2006,26
AAV8,2007,24
AAV8,2008,24
AAV8,2009,33
AAV8,2010,40
AAV8,2011,45
AAV8,2012,36
AAV8,2013,49
AAV8,2014,48
AAV8,2015,56
AAV8,2016,49
AAV8,2017,54
AAV8,2018,66
AAV8,2019,72
AAV8,2020,90
AAV8,2021,96
AAV8,2022,120
AAV8,2023,134
AAV8,2024,124
AAV9,2004,0
AAV9,2005,0
AAV9,2006,4
AAV9,2007,7
AAV9,2008,17
AAV9,2009,16
AAV9,2010,20
AAV9,2011,42
AAV9,2012,51
AAV9,2013,48
AAV9,2014,56
AAV9,2015,59
AAV9,2016,81
AAV9,2017,78
AAV9,2018,119
AAV9,2019,117
AAV9,2020,161
AAV9,2021,192
AAV9,2022,232
AAV9,2023,283
AAV9,2024,321
